[0.29947770181997535],[0.0005542908659109226],[1.8005444778637485],[3.043060784863501e-08],[1.5084912101483137e-08],[3.3109677215852076e-08],[9823.11666073],[19816.05255258]
[0.29920258509671455],[-0.0016872994113180865],[1.8000867094155821],[2.6350297837509087e-08],[2.8259972607916424e-08],[-1.6949621935423364e-08],[11418.8418804],[10647.21076282]
[0.025525062690951093],[-0.0003744351002008993],[1.8007733620878317],[0.00026995265769903906],[2.4017582148506173e-08],[4.5043634151232515e-09],[0.09594089],[1078.35574918]
[0.3012438199323388],[0.00013034917975953788],[1.8000867094155821],[4.725943611224242e-08],[-5.3228722242897276e-08],[2.595834876566987e-08],[6371.49944061],[5656.97349222]
[0.29895463896416363],[-0.0004428946711686797],[1.799857825191499],[3.338052680221875e-08],[2.3185465825290348e-08],[2.595834876566987e-08],[8969.22734052],[12913.15584907]
[0.3014154260709626],[-7.293162910300624e-05],[1.8005444778637485],[4.7304662949929726e-08],[-3.823084056410213e-09],[-9.798293485241161e-09],[6373.33275198],[78859.98666301]
[0.2978615996493481],[0.00018090279244697106],[1.8007733620878317],[9.686009258006574e-09],[1.10090985548572e-08],[1.1655691865305457e-08],[30733.05929486],[27039.51603063]
[0.29822424170747563],[-0.00014491221952764297],[1.8000867094155821],[2.195520137160278e-08],[-6.220212568371046e-09],[-2.410095038560557e-08],[13589.90741542],[47967.67805721]
[0.29934391992851755],[0.0005749750788446269],[1.799857825191499],[2.7699240455256452e-08],[1.3073739778361255e-08],[4.5043634151232515e-09],[10786.17824674],[22852.5999381]
[0.2993217754567447],[0.0005061497331549076],[1.8010022463119149],[2.855568616334777e-08],[1.382276876676269e-08],[1.1655691865305457e-08],[10464.31257208],[21617.6390393]
[0.2992588192725291],[0.0005046853640980195],[1.799857825191499],[2.8983909017393425e-08],[1.2135979076418322e-08],[4.5043634151232515e-09],[10307.58596879],[24617.22552645]
[0.299153065670483],[0.0004879304417805087],[1.7994000567433326],[-4.912332080645413e-09],[9.035164738953112e-09],[1.8807020315487662e-08],[60799.05232902],[33055.8593958]
[0.2999396287466401],[-0.0009194228215018094],[1.8000867094155821],[1.5101939987987864e-08],[-7.440326980137726e-09],[4.5043634151232515e-09],[19921.8810171],[40436.26743439]
[0.2992936038534389],[-0.0009377271576656961],[1.8005444778637485],[6.087820522363531e-05],[-6.076141026049149e-05],[-9.798293485241161e-09],[4.93167185],[4.94115146]
[0.2993501539078293],[-0.0008513306909685553],[1.8003155936396653],[5.937761399009586e-05],[-5.932014074872572e-05],[1.1655691865305457e-08],[5.05580242],[5.06070081]
[0.299664564889846],[-0.0007819572569038957],[1.8003155936396653],[5.9133039854112494e-05],[-5.9112646618563895e-05],[-1.6949621935423364e-08],[5.08085705],[5.08260989]
[0.2995035161912581],[-0.0009671971388913515],[1.8005444778637485],[4.9006932989938486e-05],[-4.8901556107376496e-05],[-2.410095038560557e-08],[6.13118787],[6.14439984]
[0.2997970640464119],[-0.0009210702117560932],[1.8010022463119149],[4.915979182492809e-05],[-4.913904709786986e-05],[-9.798293485241161e-09],[6.11715638],[6.11973882]
[0.2995005880331019],[-0.00109239879825753],[1.8005444778637485],[4.750070933989298e-05],[-4.749187005691464e-05],[1.1655691865305457e-08],[6.32817891],[6.32935672]
[0.2991542624302349],[0.0003366795876599325],[1.8003155936396653],[5.934001035271966e-08],[1.322484011826474e-08],[1.1655691865305457e-08],[5035.68471031],[22595.17545546]
[0.29877360191640207],[0.000355899281390797],[1.8003155936396653],[4.1356768592217074e-05],[-4.117777965828929e-05],[-1.6949621935423364e-08],[7.21569196],[7.24705667]
[0.2990931371361868],[0.0005087416077303982],[1.8003155936396653],[4.231361419643185e-05],[-4.2231357483470346e-05],[4.5043634151232515e-09],[7.05646164],[7.07020596]
[0.29910356869834487],[0.0005431540117455567],[1.8007733620878317],[9.633118153005635e-06],[-9.52648082054612e-06],[4.5043634151232515e-09],[30.99312289],[31.34005309]
[0.2992012959648767],[0.0006194836525636935],[1.8003155936396653],[1.1522405154158928e-05],[-1.1292755542843534e-05],[-2.6469650350589543e-09],[25.91314993],[26.44012006]
